grant_number;in_cruz_list
2401036;FALSE
2401278;TRUE
2401545;FALSE
2402141;TRUE
2402390;FALSE
2402441;FALSE
2402468;FALSE
2403517;TRUE
2403844;FALSE
2403845;FALSE
2403846;FALSE
2404263;FALSE
2404264;FALSE
2404708;FALSE
2404719;FALSE
2404781;FALSE
2404966;FALSE
2405120;FALSE
2405217;FALSE
2405431;FALSE
2405633;FALSE
2405747;FALSE
2405868;FALSE
2406787;FALSE
2407056;TRUE
2407374;FALSE
2407375;FALSE
2408749;FALSE
2408912;FALSE
2409521;FALSE
2409522;FALSE
2409523;FALSE
2409524;FALSE
2409905;FALSE
2411129;FALSE
2411524;FALSE
2411594;FALSE
2411595;FALSE
2411632;FALSE
2411640;FALSE
2411641;FALSE
2411642;FALSE
2411643;FALSE
2411644;FALSE
2411678;FALSE
2411679;FALSE
2411737;FALSE
2411738;FALSE
2411739;FALSE
2411771;FALSE
2411772;FALSE
2411773;FALSE
2411774;FALSE
2411775;FALSE
2411776;FALSE
2411882;FALSE
2411883;FALSE
2411884;FALSE
2411933;FALSE
2411934;FALSE
2411935;FALSE
2411936;FALSE
2411946;FALSE
2411953;FALSE
2411987;FALSE
2411988;FALSE
2411999;FALSE
2412719;FALSE
2412776;FALSE
2413236;FALSE
2414042;TRUE
2414497;FALSE
2414502;FALSE
2414503;FALSE
2415333;FALSE
2415398;FALSE
2415399;FALSE
2415563;FALSE
2415575;FALSE
2415667;FALSE
2415767;FALSE
2415812;FALSE
2415840;FALSE
2415857;FALSE
2415882;FALSE
2415883;FALSE
2415904;FALSE
2415965;FALSE
2415989;FALSE
2416484;FALSE
2416516;FALSE
2416517;FALSE
2416518;FALSE
2416656;FALSE
2416708;FALSE
2416797;FALSE
2416816;FALSE
2416817;FALSE
2417006;FALSE
2417148;FALSE
2417387;FALSE
2417559;FALSE
2417604;FALSE
2417666;FALSE
2417749;FALSE
2417751;FALSE
2417752;FALSE
2417753;FALSE
2417765;FALSE
2417787;FALSE
2417796;FALSE
2417813;FALSE
2417821;FALSE
2417833;FALSE
2417878;FALSE
2417879;FALSE
2417884;FALSE
2417948;FALSE
2418043;FALSE
2418051;FALSE
2418349;FALSE
2418858;FALSE
2418859;FALSE
2418921;FALSE
2419014;FALSE
2419037;FALSE
2419365;FALSE
2419500;FALSE
2419970;FALSE
2419971;FALSE
2420069;FALSE
2420344;FALSE
2420364;TRUE
2420601;FALSE
2420678;FALSE
2420721;FALSE
2420868;FALSE
2420981;FALSE
2421373;FALSE
2421409;FALSE
2421410;FALSE
2421459;FALSE
2422009;FALSE
2422010;FALSE
2422305;TRUE
2422551;FALSE
2422606;FALSE
2423019;FALSE
2423277;FALSE
2423785;FALSE
2425735;FALSE
2425826;FALSE
2425934;FALSE
2426219;FALSE
2426487;FALSE
2426567;FALSE
2426669;FALSE
2426690;FALSE
2426971;FALSE
2426972;FALSE
2426973;FALSE
2426981;FALSE
2427386;FALSE
2427457;FALSE
2427641;FALSE
2428058;FALSE
2428059;FALSE
2428232;FALSE
2428802;FALSE
2429009;FALSE
2429010;FALSE
2429070;FALSE
2429071;FALSE
2429247;FALSE
2429337;FALSE
2429338;FALSE
2429498;FALSE
2429624;FALSE
2429717;FALSE
2429961;FALSE
2430370;FALSE
2430996;FALSE
2431606;FALSE
2431915;FALSE
2432870;FALSE
2433238;FALSE
2433239;FALSE
2433253;FALSE
2433352;FALSE
2433830;FALSE
2434604;FALSE
2434748;FALSE
2435089;FALSE
2435115;FALSE
2435273;FALSE
2435274;FALSE
2436273;FALSE
2436663;FALSE
2437340;FALSE
2437382;FALSE
2437479;FALSE
2437775;FALSE
2438411;FALSE
2444087;FALSE
2444914;FALSE
2448445;FALSE
2448939;FALSE
2449906;FALSE
2450246;FALSE
2450295;FALSE
2451885;FALSE
2452030;FALSE
2452096;FALSE
2505222;FALSE
2510215;FALSE
2513528;FALSE
2516400;FALSE
2520318;FALSE
